Paper No.,Citation,Photocatalyst type,Photocatalyst category,Membrane materials,Membrane type,PPCPs,logP,MW,SMILES,Original concentration (mg/L),pH,Dark time,Light time,Light frequency,Hybrid methods,Removal efficiency (%),Removal efficiency
132,"Grilli et al., 2015",TiO2,Single,Ceramics,MF,CBZ,2.45,236.27,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,1,7,30,120,full,sol-gel,63.3,0.633
133,"Spoială et al., 2022",TiO2,Single,Chitosan ,MF,vancomycin,-3.1,1449.2,CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,0.05,6,0,2880,visible,sol-gel,86.6,0.866
133,"Spoială et al., 2022",TiO2,Single,Chitosan ,MF,meropenem,-0.6,383.5,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O,0.05,6,0,2880,visible,sol-gel,98.4,0.984
133,"Spoială et al., 2022",TiO2,Single,Chitosan ,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,0.05,6,0,2880,visible,sol-gel,99.6,0.996
133,"Spoială et al., 2022",TiO2,Single,Chitosan ,MF,clindamycin,2.16,425,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,0.05,6,0,2880,visible,sol-gel,68.3,0.683
133,"Spoială et al., 2022",TiO2,Single,Chitosan ,MF,ERY,3.06,733.9,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,0.05,6,0,2880,visible,sol-gel,88.9,0.889
136,"Paredes et al., 2019",TiO2,Single,PVDF,MF,WAR,2.7,308.3,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,0.3,7.6,30,60,UV,phase inversion,95.3,0.953
136,"Paredes et al., 2019",TiO2,Single,PVDF,MF,TMP,0.91,290.32,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,0.3,7.6,30,60,UV,phase inversion,99.4,0.994
136,"Paredes et al., 2019",TiO2,Single,PVDF,MF,CBZ,2.45,236.27,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,0.3,7.6,30,60,UV,phase inversion,99.7,0.997
136,"Paredes et al., 2019",TiO2,Single,PVDF,MF,MET,1.88,267.36,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,0.3,7.6,30,60,UV,phase inversion,96.3,0.963
136,"Paredes et al., 2019",TiO2,Single,PVDF,MF,GEM,4.39,250.33,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,0.3,7.6,30,60,UV,phase inversion,97.6,0.976
137,"Song et al., 2023","GO, g-C3N4",Single + 2D,PVDF,NF,SMZ,0.89,253.28,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,1,7,0,120,visible,vacuum filtration,99.1,0.991
137,"Song et al., 2023","GO, g-C3N4",Single + 2D,PVDF,NF,TMP,0.91,290.32,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,1,7,0,120,visible,vacuum filtration,99.6,0.996
138,"Sun et al., 2020",Goethite (α-FeOOH),Single,Ceramics,NF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,12,7,0,60,UV,sol-gel,99,0.99
139,"Liu et al., 2022","Ag, ZnO",Single + metal,Polyacrylates,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,7,0,120,visible,dip-coating,70,0.7
141,"Li et al., 2023",Zeolite imidazole (ZIF-8),Single,PTFE,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,7,30,180,visible,dip-coating,79,0.79
142,"Wu et al., 2023",None,No photocatalyst,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,7,0,180,UV,phase inversion,1,0.01
142,"Wu et al., 2023",MIL-53(Fe),Single,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,7,0,180,UV,phase inversion,93,0.93
143,"Song et al., 2023",g-C3N4,Single,PES,UF,SMZ,0.89,253.28,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,1,7,0,120,visible,vacuum filtration,99.1,0.991
143,"Song et al., 2023",g-C3N4,Single,PES,UF,TMP,0.91,290.32,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,1,7,0,120,visible,vacuum filtration,99.4,0.994
145,"Zhang Bao et al., 2023",g-C3N4,Single,Ceramics,UF,BPA,3.32,228.29,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,5,7,0,120,visible,sol-gel,95,0.95
146,"Feng et al., 2023","Ag, Fe",Single + metal,PES,MF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,20,7,0,120,full,phase inversion,100,1
148,"Damavandi et al., 2023",TiO2,Single,PES,UF,phenol,1.46,94.11,C1=CC=C(C=C1)O,60,7,0,180,UV,dip-coating,62,0.62
153,"Xu et al., 2023",Bi2MoO6,Single,Cellulosics,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,3,30,120,visible,self-assembly,90,0.9
153,"Xu et al., 2023",Bi2MoO6,Single,Cellulosics,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,5,30,30,visible,self-assembly,90,0.9
153,"Xu et al., 2023",Bi2MoO6,Single,Cellulosics,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,7,30,30,visible,self-assembly,90,0.9
153,"Xu et al., 2023",Bi2MoO6,Single,Cellulosics,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,9,30,30,visible,self-assembly,90.8,0.908
153,"Xu et al., 2023",Bi2MoO6,Single,Cellulosics,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,11,30,30,visible,self-assembly,90,0.9
153,"Xu et al., 2023",Bi2MoO6,Single,Cellulosics,MF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,10,3,30,120,visible,self-assembly,37,0.37
153,"Xu et al., 2023",Bi2MoO6,Single,Cellulosics,MF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,10,5,30,120,visible,self-assembly,65,0.65
153,"Xu et al., 2023",Bi2MoO6,Single,Cellulosics,MF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,10,7,30,120,visible,self-assembly,75,0.75
153,"Xu et al., 2023",Bi2MoO6,Single,Cellulosics,MF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,10,9,30,90,visible,self-assembly,78.4,0.784
153,"Xu et al., 2023",Bi2MoO6,Single,Cellulosics,MF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,10,11,30,120,visible,self-assembly,78,0.78
202301,"Ghaderi et al., 2023",PdO-TiO2,Single + metal,Ceramics,MF,MNZ,-0.02,171.15,CC1=NC=C(N1CCO)[N+](=O)[O-],30,5,0,120,UV,dip-coating,64.5,0.645
202301,"Ghaderi et al., 2023",PdO-TiO2,Single + metal,Ceramics,MF,MNZ,-0.02,171.15,CC1=NC=C(N1CCO)[N+](=O)[O-],30,6,0,120,UV,dip-coating,71.5,0.715
202301,"Ghaderi et al., 2023",PdO-TiO2,Single + metal,Ceramics,MF,MNZ,-0.02,171.15,CC1=NC=C(N1CCO)[N+](=O)[O-],30,8,0,120,UV,dip-coating,80,0.8
202301,"Ghaderi et al., 2023",PdO-TiO2,Single + metal,Ceramics,MF,MNZ,-0.02,171.15,CC1=NC=C(N1CCO)[N+](=O)[O-],30,10,0,120,UV,dip-coating,95,0.95
202301,"Ghaderi et al., 2023",PdO-TiO2,Single + metal,Ceramics,MF,MNZ,-0.02,171.15,CC1=NC=C(N1CCO)[N+](=O)[O-],10,10,0,120,UV,dip-coating,98,0.98
202301,"Ghaderi et al., 2023",PdO-TiO2,Single + metal,Ceramics,MF,MNZ,-0.02,171.15,CC1=NC=C(N1CCO)[N+](=O)[O-],50,10,0,120,UV,dip-coating,92,0.92
202301,"Ghaderi et al., 2023",PdO-TiO2,Single + metal,Ceramics,MF,MNZ,-0.02,171.15,CC1=NC=C(N1CCO)[N+](=O)[O-],30,10,120,0,Dark,dip-coating,15,0.15
202301,"Ghaderi et al., 2023",PdO-TiO2,Single + metal,Ceramics,MF,MNZ,-0.02,171.15,CC1=NC=C(N1CCO)[N+](=O)[O-],30,10,0,120,visible,dip-coating,64,0.64
202301,"Ghaderi et al., 2023",TiO2,Single,Ceramics,MF,MNZ,-0.02,171.15,CC1=NC=C(N1CCO)[N+](=O)[O-],10,10,0,120,UV,dip-coating,84,0.84
202301,"Ghaderi et al., 2023",CuO-TiO2,Single + metal,Ceramics,MF,MNZ,-0.02,171.15,CC1=NC=C(N1CCO)[N+](=O)[O-],10,10,0,120,UV,dip-coating,91,0.91
202301,"Ghaderi et al., 2023",CuO-TiO2,Single + metal,Ceramics,MF,DPH,3.27,255.35,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,30,5,0,120,UV,dip-coating,50,0.5
202301,"Ghaderi et al., 2023",CuO-TiO2,Single + metal,Ceramics,MF,DPH,3.27,255.35,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,30,6,0,120,UV,dip-coating,70,0.7
202301,"Ghaderi et al., 2023",CuO-TiO2,Single + metal,Ceramics,MF,DPH,3.27,255.35,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,30,8,0,120,UV,dip-coating,68,0.68
202301,"Ghaderi et al., 2023",CuO-TiO2,Single + metal,Ceramics,MF,DPH,3.27,255.35,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,30,10,0,120,UV,dip-coating,90,0.9
202301,"Ghaderi et al., 2023",CuO-TiO2,Single + metal,Ceramics,MF,DPH,3.27,255.35,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,10,10,0,120,UV,dip-coating,93,0.93
202301,"Ghaderi et al., 2023",CuO-TiO2,Single + metal,Ceramics,MF,DPH,3.27,255.35,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,50,10,0,120,UV,dip-coating,78,0.78
202301,"Ghaderi et al., 2023",CuO-TiO2,Single + metal,Ceramics,MF,DPH,3.27,255.35,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,30,10,120,0,Dark,dip-coating,19,0.19
202301,"Ghaderi et al., 2023",CuO-TiO2,Single + metal,Ceramics,MF,DPH,3.27,255.35,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,30,10,0,120,visible,dip-coating,60,0.6
202301,"Ghaderi et al., 2023",TiO2,Single,Ceramics,MF,DPH,3.27,255.35,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,10,10,0,120,UV,dip-coating,82,0.82
202301,"Ghaderi et al., 2023",PdO-TiO2,Single + metal,Ceramics,MF,DPH,3.27,255.35,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,10,10,0,120,UV,dip-coating,95,0.95
202303,"Utomo et al., 2023",CeO2,Single,PVDF,MF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,20,7,60,150,UV,phase inversion,85.6,0.856
202303,"Utomo et al., 2023",CeO2,Single,PVDF,MF,Sulfanilamide,-0.62,172.21,C1=CC(=CC=C1N)S(=O)(=O)N,20,7,60,150,UV,phase inversion,84.8,0.848
202304,"Dutta et al., 2024","MOF, Fe, Cu-POM",Single + metal,PVDF,NF,AMX,0.87,365.4,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,20,7,60,600,UV,phase inversion,98,0.98
202304,"Dutta et al., 2024","MOF, Fe, Cu-POM",Single + metal,PVDF,NF,Azithromycin,4.02,749,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,20,7,60,600,UV,phase inversion,98.5,0.985
202306,"Chakachaka et al., 2023",None,No photocatalyst,PES,MF,NAP,3.18,230.26,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,5,3,30,150,UV,phase inversion,12,0.12
202306,"Chakachaka et al., 2023",CoFe2O4 ,Single,PES,MF,NAP,3.18,230.26,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,5,3,30,150,UV,phase inversion,66,0.66
202306,"Chakachaka et al., 2023",CoFe2O4 ,Single,PES,MF,NAP,3.18,230.26,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,5,6.8,30,150,UV,phase inversion,72,0.72
202306,"Chakachaka et al., 2023",CoFe2O4 ,Single,PES,MF,NAP,3.18,230.26,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,5,7.9,30,150,UV,phase inversion,82,0.82
202306,"Chakachaka et al., 2023",CoFe2O4 ,Single,PES,MF,NAP,3.18,230.26,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,5,9,30,150,UV,phase inversion,55,0.55
202307," Zhu et al., 2023",ZnCr-Zr-LBMO (layered bimetallic oxides),Single,Polyacrylates,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,1,60,40,full,phase inversion,42,0.42
202307," Zhu et al., 2023",ZnCr-Zr-LBMO (layered bimetallic oxides),Single,Polyacrylates,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,3,60,40,full,phase inversion,98,0.98
202307," Zhu et al., 2023",ZnCr-Zr-LBMO (layered bimetallic oxides),Single,Polyacrylates,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,5,60,40,full,phase inversion,98,0.98
202307," Zhu et al., 2023",ZnCr-Zr-LBMO (layered bimetallic oxides),Single,Polyacrylates,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,7,60,40,full,phase inversion,99.3,0.993
202307," Zhu et al., 2023",ZnCr-Zr-LBMO (layered bimetallic oxides),Single,Polyacrylates,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,9,60,40,full,phase inversion,98,0.98
202308,"Nieto-Sandoval et al., 2023",g-C3N4,Single,PVDF,UF,MET,1.88,267.36,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,0.25,6.1,0,1440,full,phase inversion,88,0.88
202308,"Nieto-Sandoval et al., 2023",g-C3N4,Single,PVDF,UF,Venlafaxine,3.2,277.4,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,0.25,6.1,0,1440,full,phase inversion,91,0.91
202308,"Nieto-Sandoval et al., 2023",g-C3N4,Single,PVDF,UF,DCF,4.51,296.1,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0.25,6.1,0,1440,full,phase inversion,72,0.72
202402,"Chen et al., 2024","NiCo-MOFs, MoS2, TiO2",Heterojunction + 2D,PVDF,UF,PRO,3.72,342.2,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,6,7,0,50,UV,dip-coating,53,0.53
202402,"Chen et al., 2024","NiCo-MOFs, MoS2, TiO2",Heterojunction + 2D,PVDF,UF,ACE,0.8,222.67,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,6,7,0,50,UV,dip-coating,66.7,0.667
202402,"Chen et al., 2024","NiCo-MOFs, MoS2, TiO2",Heterojunction + 2D,PVDF,UF,ASP,1.19,180.16,CC(=O)OC1=CC=CC=C1C(=O)O,6,7,0,50,UV,dip-coating,50,0.5
202402,"Chen et al., 2024","NiCo-MOFs, MoS2, TiO2",Heterojunction + 2D,PVDF,UF,SMZ,0.89,253.28,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,6,7,0,50,UV,dip-coating,64,0.64
202402,"Chen et al., 2024","NiCo-MOFs, MoS2",Single + 2D,PVDF,UF,PRO,3.72,342.2,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,6,7,0,50,UV,dip-coating,0,0
202402,"Chen et al., 2024","NiCo-MOFs, MoS2",Single + 2D,PVDF,UF,ACE,0.8,222.67,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,6,7,0,50,UV,dip-coating,0,0
202402,"Chen et al., 2024","NiCo-MOFs, MoS2",Single + 2D,PVDF,UF,ASP,1.19,180.16,CC(=O)OC1=CC=CC=C1C(=O)O,6,7,0,50,UV,dip-coating,10,0.1
202405,"Chen et al., 2024​​.",None,No photocatalyst,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,8,90,0,Dark,phase inversion,12.3,0.123
202405,"Chen et al., 2024​​.",CoFe-MOF/TiO2,Heterojunction,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,8,0,90,full,phase inversion,73.2,0.732
202405,"Chen et al., 2024​​.",CoFe-MOF/TiO2,Heterojunction,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,8,0,90,full,phase inversion,87.9,0.879
202405,"Chen et al., 2024​​.",CoFe-MOF/TiO2,Heterojunction,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,30,8,0,90,full,phase inversion,53.5,0.535
202405,"Chen et al., 2024​​.",CoFe-MOF/TiO2,Heterojunction,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,40,8,0,90,full,phase inversion,37.1,0.371
202405,"Chen et al., 2024​​.",CoFe-MOF/TiO2,Heterojunction,PVDF,UF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,20,8,0,90,full,phase inversion,65,0.65
202405,"Chen et al., 2024​​.",CoFe-MOF/TiO2,Heterojunction,PVDF,UF,OTC,-0.9,460.4,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,20,8,0,90,full,phase inversion,70,0.7
